context_precision,faithfulness,answer_relevancy,context_recall
0.0,0.6,0.18619265022427725,0.0
0.9999999999,1.0,0.0,0.6
0.0,1.0,0.140056757220156,1.0
0.9999999999,,0.09911665105735017,0.8
0.99999999995,,0.09510717177813792,
0.9999999999,0.5454545454545454,0.2509896361576619,
0.49999999995,1.0,0.16108903307425507,0.4
0.0,,0.16546000596565452,0.375
0.99999999995,1.0,0.22001918089938388,0.6
0.49999999995,1.0,0.16814028038877338,0.0
0.9999999999,1.0,0.19821622589940488,
0.9999999999,,0.14201529172397273,0.5833333333333334
0.0,,0.11532838881877627,0.08333333333333333
0.99999999995,0.75,0.1477353352677501,1.0
0.9999999999,0.75,0.16090046270916675,1.0
0.0,0.0,0.0,0.0
0.9999999999,1.0,0.1781851289944362,1.0
0.9999999999,0.7857142857142857,0.10277907390048942,0.0
0.99999999995,1.0,0.14896943989319572,1.0
0.49999999995,,0.14007747470656545,1.0
0.99999999995,1.0,0.19044668926828393,0.75
0.49999999995,1.0,0.16676574508715003,0.8
,,,
0.49999999995,1.0,0.15787509200873492,1.0
0.99999999995,0.6153846153846154,0.14563792724158822,0.35714285714285715
0.0,0.25,0.12379945571899154,0.4
0.9999999999,,0.13979205162838793,0.4
0.49999999995,0.6666666666666666,0.10485542068221394,1.0
0.9999999999,,0.16946478735053186,1.0
0.49999999995,1.0,0.14829219329885976,0.4
0.9999999999,1.0,0.19513466346673636,0.7777777777777778
0.0,0.7142857142857143,0.11546550821309481,1.0
0.99999999995,1.0,0.1591655259102012,0.75
0.99999999995,0.8571428571428571,0.09456945834654791,0.8
0.99999999995,,0.08817226194415796,
0.99999999995,,0.12310389051187558,1.0
0.99999999995,,0.18681506481973398,0.8333333333333334
0.9999999999,,0.11663171991450692,0.7142857142857143
0.0,1.0,0.1857235017353269,0.5
0.0,0.3076923076923077,0.13250711774618915,0.0
0.9999999999,,0.17467210214032128,1.0
0.9999999999,,0.0,0.8333333333333334
0.0,0.11764705882352941,0.15303959109433743,0.4166666666666667
0.9999999999,,0.18829301547948077,0.7142857142857143
0.9999999999,,0.09402886649728964,
0.9999999999,,0.25298211034815926,
0.49999999995,1.0,0.13876804535401294,0.0
0.49999999995,,0.1568893993189465,0.25
0.49999999995,,0.23201583989457467,0.5294117647058824
0.49999999995,,0.21899647796513466,0.45454545454545453
,0.18181818181818182,0.16181380935334796,
0.9999999999,0.65,0.17662303395542425,0.3125
0.0,0.6111111111111112,0.12517968281262792,0.3333333333333333
0.99999999995,1.0,0.14490574255025646,
0.9999999999,,0.17115118109523572,0.625
0.0,0.0,0.0,0.0
0.9999999999,1.0,0.17869724964556358,1.0
0.9999999999,0.0,0.10274293529915514,0.14285714285714285
0.99999999995,0.9333333333333333,0.15137512674940914,1.0
0.49999999995,0.8947368421052632,0.1430007776777017,0.8888888888888888
0.99999999995,0.8333333333333334,0.2316872385027501,0.8333333333333334
0.49999999995,1.0,0.16615189438125885,0.5
,,,
0.49999999995,1.0,0.14756459278625642,0.47058823529411764
0.99999999995,0.6666666666666666,0.17060938027442044,1.0
0.0,0.3333333333333333,0.12462129564325398,0.2857142857142857
0.99999999995,,0.14816862605402822,0.25
0.49999999995,,0.13341801522094132,0.5
0.9999999999,0.6206896551724138,0.15863443340726477,0.5454545454545454
0.49999999995,1.0,0.0881979463648576,0.4
0.9999999999,,0.0,1.0
0.99999999995,,0.12345361417766161,
0.99999999995,0.9444444444444444,0.1582118096490199,0.8888888888888888
0.99999999995,0.8666666666666667,0.0,0.7272727272727273
0.99999999995,,0.08790114180421894,
0.99999999995,,0.1523800787148718,1.0
0.99999999995,,0.1940295350153333,1.0
0.99999999995,,0.11486496377595075,0.8461538461538461
0.0,1.0,0.20381156222558824,0.0
0.0,0.0,0.12081890783510389,0.0
0.9999999999,0.6190476190476191,0.19878922191207296,0.0
0.9999999999,1.0,0.0,0.25
0.0,0.0,0.11698341139458046,0.35714285714285715
0.9999999999,0.782608695652174,0.16185776653143602,
0.99999999995,,0.09425840072098089,
0.9999999999,1.0,0.2589846611497037,1.0
0.49999999995,0.6428571428571429,0.1501891210659003,0.8571428571428571
0.0,0.6,0.12438811579278657,0.125
0.99999999995,0.9230769230769231,0.23945924471423266,0.8888888888888888
0.49999999995,,0.18294903510353536,0.5
,,0.1593831467885447,
0.99999999995,,0.18364260075788974,0.3076923076923077
0.0,,0.11175075607355928,0.5
0.99999999995,0.7777777777777778,0.1481846281590785,0.6363636363636364
0.9999999999,0.7142857142857143,0.13342902560622913,0.8
0.0,,0.0,0.0
0.9999999999,1.0,0.1580186860796983,0.6666666666666666
0.9999999999,1.0,0.09759978961654742,0.0
0.99999999995,0.9166666666666666,0.14145581403405108,1.0
0.49999999995,0.8333333333333334,0.14237628490152432,1.0
0.99999999995,0.75,0.17659415203675047,0.7142857142857143
0.99999999995,0.8181818181818182,0.14875351080001079,0.875
,,,
0.49999999995,,0.1622894694758191,0.5882352941176471
0.99999999995,0.6153846153846154,0.1824779748181179,1.0
0.0,,0.17109725535128328,0.4
0.9999999999,1.0,0.15991031218711235,1.0
0.49999999995,,0.0,0.8333333333333334
0.9999999999,0.625,0.1901450232925216,0.38461538461538464
0.49999999995,,0.14065731425269054,0.3333333333333333
0.9999999999,1.0,0.0,0.8571428571428571
0.0,0.5,0.12258329611709523,1.0
0.99999999995,1.0,0.16231012590111651,0.8181818181818182
0.99999999995,1.0,0.1242537136456734,
0.99999999995,0.5,0.09442078529057539,
0.99999999995,1.0,0.12334022334628418,1.0
0.99999999995,,0.1903882861043146,0.6538461538461539
0.9999999999,,0.12312188874268663,0.3333333333333333
0.0,1.0,0.22223111378303395,0.3333333333333333
0.0,0.4166666666666667,0.14034857969319525,0.0
